date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:43:58%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/health-topics.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/health-topics.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:43:58%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/spanish/	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/spanish/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:00%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/outbreaks/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/outbreaks/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:00%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/health-topics.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/health-topics.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:00%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/health-topics.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/health-topics.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:00%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/about/	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/about/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:01%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/vaccines-adults/recommended-vaccines/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/vaccines-adults/recommended-vaccines/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:02%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/alzheimers-dementia/about/alzheimers.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/alzheimers-dementia/about/alzheimers.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:03%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/youth-violence/about/about-bullying.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/youth-violence/about/about-bullying.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:07%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/covid/prevention/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/covid/prevention/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
